moreau-broto autocorrelation of lag 2 weighted by atomic number,averaged and centered moreau-broto autocorrelation of lag 5 weighted by mass,min of sss,moreau-broto autocorrelation of lag 7 weighted by atomic number,centered moreau-broto autocorrelation of lag 2 weighted by polarizability
1657.0,-6.809735400000001,NA,504.0,2.1584863061592006
1040.0,-7.376123647125811,NA,282.0,-0.12428533440096853
1786.0,-0.49386029056087066,NA,918.0,0.9473636020920808
1286.0,-4.196119723922902,NA,1106.0,0.6235163016449319
1452.0,33.54679962500911,NA,0.0,1.6503532458629933
1532.0,5.052484017127188,NA,976.0,-0.23980269152113476
1002.0,-55.89237107333335,NA,0.0,-1.2114661897659982
3029.0,-329.40151919463193,NA,7654.0,1.64685806985208
640.0,-1.7188693619834658,NA,22.0,-1.6046300096337633
1094.0,3.090046934008895,NA,432.0,-6.509048596877284
4006.0,-0.2627729477074406,NA,4252.0,7.764054179705108
1847.0,16.659017808841977,NA,1326.0,2.2479447910639374
609.0,-8.595127990795529,NA,156.0,0.007715577008881702
830.0,-14.474842447959183,NA,440.0,0.8234275496980011
1250.0,-5.952963472222223,NA,366.0,5.568889625074946
881.0,0.08711521008192197,NA,154.0,-0.7126426035836391
939.0,-0.15296721566358004,NA,624.0,-3.7399149433423733
784.0,-7.366116176097392,NA,214.0,0.4734465271644941
615.0,-10.662693746913577,NA,9.0,0.362837056438112
644.0,-16.447312585227277,NA,107.0,0.1300722568103711
1357.0,-8.290311668626774,NA,440.0,0.8932061340646245
672.0,-1.5123597333538494,NA,25.0,-1.1170649168752758
889.0,7.167693092110452,NA,450.0,-2.1956954698167075
1538.0,2.5765768358658003,NA,1133.0,1.3972135329893778
1734.0,24.438129112619766,NA,1160.0,1.0521201248461054
1617.0,0.8809808640193078,NA,1447.0,3.0661479215512655
125.0,35.99999999999999,NA,0.0,-0.38716216613674986
905.0,-18.552766806437386,NA,1.0,-0.13706992635419057
540.0,-24.587900826446276,NA,0.0,-0.5936018253226892
629.0,-27.951877110069024,NA,0.0,2.294839502704939
382.0,-26.890467909378707,NA,0.0,-0.42052769911704685
296.0,-13.231243384375002,NA,0.0,-1.1035349162974528
676.0,-11.052460418685119,NA,4.0,-0.7732138344091515
1338.0,-6.19587280078895,NA,0.0,-0.07146703027755048
696.0,-1.5302461030627095,NA,92.0,-1.6635112146264408
1025.0,-5.136125049382713,NA,465.0,1.8760187337331238
848.0,-6.638242512138428,NA,177.0,0.9811723795240026
793.0,-4.060394209960937,NA,378.0,-2.846427162200361
681.0,-1.8053567314814818,NA,330.0,-2.4658597801847346
830.0,-12.116823809591313,NA,122.0,-0.12777454793320164
511.0,-6.588626340136057,NA,12.0,0.47240323574545073
2056.0,-0.22625348063558032,NA,1936.0,-1.189461099785459
1485.0,-0.2710150838243534,NA,1152.0,-6.0605648765732845
1209.0,1.3945263102160472,NA,752.0,-3.897350242992397
2602.0,0.7852263198889382,NA,2468.0,-0.8058653217033415
2358.0,-1.5187036688199993,NA,1957.0,-1.6049932317637
1652.0,-35.032697120538934,1.7193055555555554,341.0,2.908895627009184
444.0,-0.9685496194871794,NA,165.0,-2.1479384817657734
1313.0,-2.3047514388888883,NA,801.0,-1.4268425612063644
1792.0,3.0455190367867893,NA,1421.0,1.3028922906289184
428.0,17.94687032323232,NA,9.0,-1.0719719719413328
392.0,3.4069543459595963,NA,112.0,-1.6468035034857493
3292.0,-1.6073910239957037,NA,3641.0,0.9860848391245957
2502.0,2.5983901132313227,NA,1853.0,0.9721009652666479
3368.0,-1.6962988900226772,NA,3230.0,-1.5143707283872534
2075.0,10.587732632727398,1.8453695830183923,1927.0,4.3784561147734955
1505.0,-6.3060894132856475,NA,1401.0,0.897812222012875
573.0,1.3942338450413287,NA,21.0,0.3240544051858971
636.0,-3.9250170289256077,NA,18.0,1.3470403566360025
715.0,-22.385474470936302,NA,0.0,1.619421513736302
550.0,-3.456283291240809,NA,9.0,0.9055034495379819
